name;company;technology;job;location_city;location_coutry;salary_low;salary_high;salary_currency;salary_avg;is_senior
quality assurance engineer/data analyst;Link Group Sp. z o. o.;sql;data analyst; Kraków;POL;12000;16000;PLN ;14000.0;0
data analyst;PHLEXGLOBAL POLAND SP Z.O.O;;data analyst; Lublin;POL;5000;7000;PLN ;6000.0;0
data scientist;Samba TV;python;data analyst; Warszawa;POL;10000;16500;PLN ;13250.0;0
data analyst (credit risk);AVENGA;;data analyst; Warszawa;POL;5000;9000;PLN ;7000.0;0
senior product manager;co.brick;;data analyst; Gliwice;POL;12000;20000;PLN ;16000.0;1
test engineer;AI INVESTMENTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;java;data analyst; Warszawa;POL;6000;8000;PLN ;7000.0;0
product data analyst;BOLD;;data analyst;Zdalna;;8000;10000;PLN ;9000.0;0
tester / data analyst;DPDgroup IT Solutions sp. z o.o.;;data analyst; Warszawa;POL;5000;10000;PLN ;7500.0;0
data engineer/python developer;AVENGA;python;data analyst;Zdalna;;23520;26880;PLN ;25200.0;0
data engineer;Simon-Kucher & Partners;;data analyst; Warszawa;POL;9200;14650;PLN ;11925.0;0
data manager;HUB HR,  a part of Sales and Marketing Global (Poland) sp. z o.o;;data analyst; Katowice;POL;14000;20000;PLN ;17000.0;0
digital analyst (bi);dentsu Polska;;data analyst; Warszawa;POL;6000;8000;PLN ;7000.0;0
technical solutions specialist np;RTB House;;data analyst;Zdalna;;6000;10000;PLN ;8000.0;0
product owner/senior business analyst;Silent Eight Pte. Ltd.;;data analyst;Zdalna;;14000;18000;PLN ;16000.0;1
business intelligence data analyst i;Jamf;;data analyst;Zdalna;;5000;6250;PLN ;5625.0;0
business intelligence analyst;Tylko;;data analyst;Zdalna;;8000;12000;PLN ;10000.0;0
data analytics implementation specialist;IIIT;;data analyst;Zdalna;;10000;16000;PLN ;13000.0;0
power bi data analyst;Devire;;data analyst; Warszawa;POL;13440;16800;PLN ;15120.0;0
senior data analyst;Devire;;data analyst;Zdalna;;16800;20160;PLN ;18480.0;1
data scientist - bi analyst;Cloud Best;;data analyst; Warszawa;POL;10000;14000;PLN ;12000.0;0
quality assurance engineer/data analyst;Link Group Sp. z o. o.;sql;data analyst; Kraków;POL;12000;16000;PLN ;14000.0;0
data analyst;PHLEXGLOBAL POLAND SP Z.O.O;;data analyst; Lublin;POL;5000;7000;PLN ;6000.0;0
data scientist;Samba TV;python;data analyst; Warszawa;POL;10000;16500;PLN ;13250.0;0
data analyst (credit risk);AVENGA;;data analyst; Warszawa;POL;5000;9000;PLN ;7000.0;0
senior product manager;co.brick;;data analyst; Gliwice;POL;12000;20000;PLN ;16000.0;1
test engineer;AI INVESTMENTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;java;data analyst; Warszawa;POL;6000;8000;PLN ;7000.0;0
product data analyst;BOLD;;data analyst;Zdalna;;8000;10000;PLN ;9000.0;0
tester / data analyst;DPDgroup IT Solutions sp. z o.o.;;data analyst; Warszawa;POL;5000;10000;PLN ;7500.0;0
data engineer/python developer;AVENGA;python;data analyst;Zdalna;;23520;26880;PLN ;25200.0;0
data engineer;Simon-Kucher & Partners;;data analyst; Warszawa;POL;9200;14650;PLN ;11925.0;0
data manager;HUB HR,  a part of Sales and Marketing Global (Poland) sp. z o.o;;data analyst; Katowice;POL;14000;20000;PLN ;17000.0;0
digital analyst (bi);dentsu Polska;;data analyst; Warszawa;POL;6000;8000;PLN ;7000.0;0
technical solutions specialist np;RTB House;;data analyst;Zdalna;;6000;10000;PLN ;8000.0;0
